index,time,lat,lon,x,y,z,m,Day or night,Water or not,Hills or not
1,2021/04/16 22:46:30.922820,28:48:17.8,-107:07:22.5,0.178826957941055,-2.26056790351868,11.2032423019409,5.07428792006548,,,
2,2021/04/16 22:46:38.945822,28:26:21.5,-106:44:24.3,0.280722588300705,-4.09631586074829,20.0741386413574,7.48785977255748,,,
3,2021/04/16 22:46:46.822277,28:04:20.8,-106:21:36.5,0.196335151791573,-5.50638437271118,27.2460899353027,9.17638965303193,0,0,0
4,2021/04/16 22:46:55.461898,27:39:29.6,-105:56:09.9,0.148996606469154,-6.45989847183228,32.9407958984375,10.40611241607,,,
5,2021/04/16 22:47:03.344343,27:17:19.5,-105:33:43.4,0.095398008823395,-7.25627660751343,37.4910316467285,11.3399118701226,,,
6,2021/04/16 22:47:11.242438,26:55:05.2,-105:11:26.8,-0.005430458579212,-7.91406726837158,40.8066444396973,11.999571097277,0,0,0
7,2021/04/16 22:47:19.884162,26:32:46.7,-104:49:19.6,-0.116485521197319,-8.41771984100342,43.588306427002,12.5376190090992,,,
8,2021/04/16 22:47:27.752043,26:10:24.3,-104:27:21.9,-0.113836921751499,-8.76001071929932,45.8233871459961,12.9595062575825,,,
9,2021/04/16 22:47:35.650213,25:47:57.8,-104:05:33.4,-0.217109307646751,-9.10521793365479,47.4973907470703,13.274165952308,0,0,0
10,2021/04/16 22:47:44.291616,25:22:38.5,-103:41:12.1,-0.293802350759506,-9.38704872131348,48.8185386657715,13.5202307028894,,,
11,2021/04/16 22:47:52.162279,25:00:04.0,-103:19:42.5,-0.484768867492676,-9.58865737915039,50.0576438903809,13.74706504947,,,
12,2021/04/16 22:48:00.039133,24:37:25.8,-102:58:21.6,-0.602519094944,-9.83405113220215,50.7494163513184,13.877459198323,0,0,0.5
13,2021/04/16 22:48:08.673028,24:14:44.0,-102:37:09.1,-0.727405250072479,-10.0191173553467,51.4529800415039,14.0073447619406,,,
14,2021/04/16 22:48:16.547033,23:51:58.8,-102:16:05.0,-0.866866946220398,-10.2160692214966,51.6161880493164,14.0429808319762,,,
15,2021/04/16 22:48:24.423490,23:29:10.1,-101:55:08.9,-0.946090698242188,-10.3128061294556,51.970100402832,14.1082432454136,0,0,0.5
16,2021/04/16 22:48:33.060727,23:03:26.3,-101:31:45.3,-1.21305727958679,-10.364161491394,52.081226348877,14.1303163562821,,,
17,2021/04/16 22:48:40.934396,22:43:22.8,-101:13:40.4,-1.19272065162659,-10.4813289642334,51.9858016967774,14.1177223249699,,,
18,2021/04/16 22:48:48.809809,22:20:24.3,-100:53:07.7,-1.22177493572235,-10.5238275527954,51.9551544189453,14.1140040787235,0,0,0.5
19,2021/04/16 22:48:57.456392,21:54:29.9,-100:30:09.7,-1.44930374622345,-10.6052951812744,51.8396072387695,14.0978144021106,,,
20,2021/04/16 22:49:05.331219,21:31:24.9,-100:09:52.6,-1.72417461872101,-10.5166778564453,51.6560401916504,14.064194617578,,,
21,2021/04/16 22:49:13.205791,21:08:17.0,-99:49:42.5,-2.00091767311096,-10.3831768035889,51.5760231018066,14.0472893899418,0,0,0.5
22,2021/04/16 22:49:21.841776,20:45:06.2,-99:29:39.4,-2.18492865562439,-10.5981426239014,51.5122032165527,14.0450954382398,,,
23,2021/04/16 22:49:29.711826,20:21:52.6,-99:09:43.1,-2.34294080734253,-10.4205923080444,51.472240447998,14.0330336480387,,,
24,2021/04/16 22:49:37.583002,19:58:36.3,-98:49:53.3,-2.39304137229919,-10.4200592041016,51.2835502624512,14.0005217634588,0,0,0
25,2021/04/16 22:49:46.222030,19:32:22.3,-98:27:42.6,-2.42007994651794,-10.4138679504395,51.0306282043457,13.9563785915396,,,
26,2021/04/16 22:49:54.091378,19:09:00.5,-98:08:06.4,-2.7088463306427,-10.332426071167,51.0372657775879,13.9571810340764,,,
27,2021/04/16 22:50:01.972964,18:48:31.8,-97:51:02.2,-2.81712174415588,-10.4647426605225,50.5441436767578,13.8767367446688,0,0,0
