index,time,lat,lon,x,y,z,m,d/n,w?,h?
1,2021/04/16 22:46:30.922820,28:48:17.8,-107:07:22.5,0.1788269579410553,-2.2605679035186768,11.203242301940918,5.074287920065477,,,
2,2021/04/16 22:46:38.945822,28:26:21.5,-106:44:24.3,0.28072258830070496,-4.096315860748291,20.074138641357422,7.487859772557483,,,
3,2021/04/16 22:46:46.822277,28:04:20.8,-106:21:36.5,0.19633515179157257,-5.506384372711182,27.246089935302734,9.176389653031926,,,
4,2021/04/16 22:46:55.461898,27:39:29.6,-105:56:09.9,0.14899660646915436,-6.459898471832275,32.9407958984375,10.406112416070034,,,
5,2021/04/16 22:47:03.344343,27:17:19.5,-105:33:43.4,0.09539800882339478,-7.256276607513428,37.491031646728516,11.339911870122576,,,
6,2021/04/16 22:47:11.242438,26:55:05.2,-105:11:26.8,-0.005430458579212427,-7.914067268371582,40.806644439697266,11.999571097277022,,,
7,2021/04/16 22:47:19.884162,26:32:46.7,-104:49:19.6,-0.11648552119731903,-8.417719841003418,43.58830642700195,12.53761900909918,,,
8,2021/04/16 22:47:27.752043,26:10:24.3,-104:27:21.9,-0.11383692175149918,-8.760010719299316,45.823387145996094,12.959506257582536,,,
9,2021/04/16 22:47:35.650213,25:47:57.8,-104:05:33.4,-0.2171093076467514,-9.105217933654785,47.49739074707031,13.274165952307994,,,
10,2021/04/16 22:47:44.291616,25:22:38.5,-103:41:12.1,-0.2938023507595062,-9.387048721313477,48.818538665771484,13.520230702889354,,,
11,2021/04/16 22:47:52.162279,25:00:04.0,-103:19:42.5,-0.4847688674926758,-9.58865737915039,50.05764389038086,13.747065049470038,,,
12,2021/04/16 22:48:00.039133,24:37:25.8,-102:58:21.6,-0.6025190949440002,-9.834051132202148,50.74941635131836,13.877459198322953,,,
13,2021/04/16 22:48:08.673028,24:14:44.0,-102:37:09.1,-0.7274052500724792,-10.01911735534668,51.452980041503906,14.007344761940558,,,
14,2021/04/16 22:48:16.547033,23:51:58.8,-102:16:05.0,-0.866866946220398,-10.216069221496582,51.616188049316406,14.042980831976191,,,
15,2021/04/16 22:48:24.423490,23:29:10.1,-101:55:08.9,-0.9460906982421875,-10.312806129455566,51.97010040283203,14.108243245413584,,,
16,2021/04/16 22:48:33.060727,23:03:26.3,-101:31:45.3,-1.213057279586792,-10.364161491394043,52.08122634887695,14.130316356282085,,,
17,2021/04/16 22:48:40.934396,22:43:22.8,-101:13:40.4,-1.192720651626587,-10.481328964233398,51.985801696777344,14.117722324969854,,,
18,2021/04/16 22:48:48.809809,22:20:24.3,-100:53:07.7,-1.221774935722351,-10.52382755279541,51.95515441894531,14.114004078723477,,,
19,2021/04/16 22:48:57.456392,21:54:29.9,-100:30:09.7,-1.4493037462234497,-10.605295181274414,51.83960723876953,14.097814402110645,,,
20,2021/04/16 22:49:05.331219,21:31:24.9,-100:09:52.6,-1.7241746187210083,-10.516677856445312,51.65604019165039,14.064194617577988,,,
21,2021/04/16 22:49:13.205791,21:08:17.0,-99:49:42.5,-2.000917673110962,-10.383176803588867,51.57602310180664,14.047289389941803,,,
22,2021/04/16 22:49:21.841776,20:45:06.2,-99:29:39.4,-2.1849286556243896,-10.598142623901367,51.512203216552734,14.045095438239844,,,
23,2021/04/16 22:49:29.711826,20:21:52.6,-99:09:43.1,-2.3429408073425293,-10.420592308044434,51.47224044799805,14.033033648038698,,,
24,2021/04/16 22:49:37.583002,19:58:36.3,-98:49:53.3,-2.3930413722991943,-10.420059204101562,51.28355026245117,14.000521763458794,,,
25,2021/04/16 22:49:46.222030,19:32:22.3,-98:27:42.6,-2.4200799465179443,-10.413867950439453,51.0306282043457,13.956378591539629,,,
26,2021/04/16 22:49:54.091378,19:09:00.5,-98:08:06.4,-2.7088463306427,-10.332426071166992,51.03726577758789,13.957181034076429,,,
